"ibgeCode","name","uf","region","rank","population2022","registeredHomicides","hiddenHomicides","estimatedHomicides","homicideRate","year"
"1501808","Breves","PA","N","185","106968","19","1","20","18,7","2022"
"4302105","Bento Gonçalves","RS","S","186","123151","23","0","23","18,7","2022"
"3538006","Pindamonhangaba","SP","SE","187","165428","12","19","31","18,7","2022"
"3167202","Sete Lagoas","MG","SE","188","227397","40","2","42","18,5","2022"
"5108402","Várzea Grande","MT","CO","189","300078","53","2","55","18,3","2022"
"3118601","Contagem","MG","SE","190","621863","72","42","114","18,3","2022"
"3516309","Francisco Morato","SP","SE","191","165139","21","9","30","18,2","2022"
"3502804","Araçatuba","SP","SE","192","200124","36","0","36","18","2022"
"4314100","Passo Fundo","RS","S","193","206215","36","1","37","17,9","2022"
"4103701","Cambé","PR","S","194","107208","18","1","19","17,7","2022"
"3106200","Belo Horizonte","MG","SE","195","2315560","312","96","408","17,6","2022"
"4305108","Caxias do Sul","RS","S","196","463501","80","1","81","17,5","2022"
"5008305","Três Lagoas","MS","CO","197","132152","23","0","23","17,4","2022"
"3136702","Juiz de Fora","MG","SE","198","540756","88","6","94","17,4","2022"
"4322400","Uruguaiana","RS","S","199","117210","20","0","20","17,1","2022"
"3554102","Taubaté","SP","SE","200","310739","32","21","53","17,1","2022"
"4318705","São Leopoldo","RS","S","201","217409","31","6","37","17","2022"
"3518404","Guaratinguetá","SP","SE","202","118044","19","1","20","16,9","2022"
"5211503","Itumbiara","GO","CO","203","107970","17","1","18","16,7","2022"
"3518701","Guarujá","SP","SE","204","287634","47","1","48","16,7","2022"
"1506807","Santarém","PA","N","205","331942","55","0","55","16,6","2022"
"4309209","Gravataí","RS","S","206","265074","41","3","44","16,6","2022"
"5208707","Goiânia","GO","CO","207","1437366","214","18","232","16,1","2022"
"4128104","Umuarama","PR","S","208","117095","17","1","18","15,4","2022"
"3550308","São Paulo","SP","SE","209","11451999","344","1418","1762","15,4","2022"
"2306405","Itapipoca","CE","NE","210","131123","16","4","20","15,3","2022"
"5103403","Cuiabá","MT","CO","211","650877","90","9","99","15,2","2022"
"4101507","Arapongas","PR","S","212","119138","18","0","18","15,1","2022"
"3522109","Itanhaém","SP","SE","213","112476","17","0","17","15,1","2022"
"3549805","São José do Rio Preto","SP","SE","214","480393","61","10","71","14,8","2022"
